Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KSH,68560,2,37,1
KS18,KSH,68560,2,39,1
KS18,KSH,68560,2,39,1
KS18,KSH,68560,2,40,1
KS18,KSH,68560,2,40,1
KS18,KSH,68560,2,40,1
KS18,KSH,68560,2,40,1
KS18,KSH,68560,2,40,1
KS18,KSH,68560,2,41,1
KS18,KSH,68560,2,42,1
KS18,KSH,68560,2,43,1
KS18,KSH,68560,2,43,1
KS18,KSH,68560,2,43,2.2
KS18,KSH,68560,2,43,1
KS18,KSH,68560,2,43,1
KS18,KSH,68560,2,44,1
KS18,KSH,68560,2,47,1
KS18,KSH,68560,2,47,1
KS18,KSH,68560,2,47,1
KS18,KSH,68560,2,48,1
KS18,KSH,68560,2,48,1
KS18,KSH,68560,2,48,1
KS18,KSH,68560,2,49,1
KS18,KSH,68560,2,49,2.2
KS18,KSH,68560,2,50,1
KS18,KSH,68560,2,50,1
KS18,KSH,68560,2,50,1
KS18,KSH,68560,2,51,1
KS18,KSH,68560,2,51,1
KS18,KSH,68560,2,52,1
KS18,KSH,68560,2,56,1
KS18,KSH,68560,2,57,1
KS18,KSH,68560,2,58,1
KS18,KSH,68560,2,59,1
KS18,KSH,68560,2,59,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,60,1
KS18,KSH,68560,2,62,1
KS18,KSH,68560,2,62,1
KS18,KSH,68560,2,63,1
KS18,KSH,68560,2,63,1
KS18,KSH,68560,2,64,1
KS18,KSH,68560,2,66,1
KS18,KSH,68560,2,67,2.2
KS18,KSH,68560,2,68,1
KS18,KSH,68560,2,69,1
KS18,KSH,68560,2,70,1
KS18,KSH,68560,2,70,1
KS18,KSH,68560,2,71,1
KS18,KSH,68560,2,71,2.2
KS18,KSH,68560,2,72,1
KS18,KSH,68560,2,73,2.2
KS18,KSH,68560,2,73,1
KS18,KSH,68560,2,77,1
KS18,KSH,68560,2,79,1
KS18,KSH,68560,2,80,1
KS18,KSH,68560,2,81,1
KS18,KSH,68560,2,82,1
KS18,KSH,68560,2,82,1
KS18,KSH,68560,2,84,2.2
KS18,KSH,68560,2,85,1
KS18,KSH,68560,2,91,1
KS18,KSH,68560,2,104,1
KS18,KSH,68560,2,106,1
KS18,KSH,68560,2,109,1
KS18,KSH,68560,2,110,1
KS18,KSH,68560,2,112,1
KS18,KSH,68560,2,132,1
KS18,KSW,68560,1,22,1
KS18,KSW,68560,1,25,1
KS18,KSW,68560,1,27,1
KS18,KSW,68560,1,32,1
KS18,KSW,68560,1,33,1
KS18,KSW,68560,1,33,1
KS18,KSW,68560,1,34,1
KS18,KSW,68560,1,37,1
KS18,KSW,68560,1,39,1
KS18,KSW,68560,1,40,1
KS18,KSW,68560,1,42,1
KS18,KSW,68560,1,42,1
KS18,KSW,68560,1,42,1
KS18,KSW,68560,1,42,1
KS18,KSW,68560,1,43,1
KS18,KSW,68560,1,44,1
KS18,KSW,68560,1,44,1
KS18,KSW,68560,1,44,1
KS18,KSW,68560,1,44,1
KS18,KSW,68560,1,45,1
KS18,KSW,68560,1,47,1
KS18,KSW,68560,1,48,1
KS18,KSW,68560,1,49,1
